field1,field2,_GC_TYPE,_X,_Y
발산역5번출구,"서울특별시 강서구 강서로52길 43 (내발산동, DH647), 1층 일부",정,126.84055560852364,37.55799690458853
양천향교역,서울특별시 강서구 강서로 463 (마곡동),정,126.84044569793429,37.56694571163544
강서우장산,"서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/120호",정,126.83597026244898,37.54626095631257
염창역,서울특별시 강서구 공항대로 627 (염창동),정,126.87453773718985,37.54728546403082
발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,정,126.83930782338287,37.56018740054092
화곡역8번출구,"서울특별시 강서구 강서로 179 (화곡동), 1층 일부",정,126.83932207561777,37.542362515920516
까치산역,서울특별시 강서구 강서로13길 3 (화곡동),정,126.84604674662033,37.53229406187178
내발산,"서울특별시 강서구 강서로 323 (내발산동), 101/102호",정,126.83655399198952,37.55467106612177
등촌,서울특별시 강서구 공항대로 329 (등촌동),정,126.84432195992612,37.55826034242962
가양역사거리,"서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호",정,126.85541940800103,37.56002408786364
낙성대역,서울특별시 관악구 남부순환로 1908 (봉천동),정,126.96120535015615,37.47770365002139
송정역,"서울특별시 강서구 공항대로 38 (공항동), 1층 일부",정,126.81157499609753,37.56097715659407
등촌대로,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)",정,126.86641223458673,37.55073845964956
강서NC,서울특별시 강서구 강서로56길 17 (등촌동),정,126.84049891139237,37.559933572191824
김포공항DT,서울특별시 강서구 개화동로 517 (방화동),정,126.80604003851457,37.56628248619159
서울대역,서울특별시 관악구 남부순환로 1817 (봉천동),정,126.95214600501383,37.4816441950024
강서구청사거리,서울특별시 강서구 화곡로 350 (화곡동),정,126.85221093436495,37.554812087761384
마곡나루공원,서울특별시 강서구 마곡중앙5로 47 (마곡동),정,126.82225726628764,37.56690668959776
마곡웰튼,"서울특별시 강서구 마곡중앙5로 22 (마곡동), 104/105/106호",정,126.82530243178591,37.56724951620848
서울대입구역8번출구,서울특별시 관악구 남부순환로 1831 (봉천동),정,126.95367394760811,37.48119428124141
신림DT,서울특별시 관악구 남부순환로 1419 (신림동),정,126.9084171525834,37.480973641062384
관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동),정,126.95280772997396,37.479310037961206
신림타임스트림,서울특별시 관악구 신림로 330 타임스트림 1층,정,126.93023535583517,37.4838516453239
사당,서울특별시 관악구 남부순환로 2082-25,정,126.98101308633916,37.47605629491731
보라매대교,서울특별시 관악구 보라매로3길 23 (봉천동) 1층,정,126.92553603600082,37.49104244717446
서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동),정,126.95132943189397,37.48111130820829
어린이대공원역,서울특별시 광진구 능동로 243 (군자동),정,127.0763559938798,37.551941573321905
신림,서울특별시 관악구 신림로 355-1 (신림동),정,126.9291724437494,37.48609990775106
낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동),정,126.96513155783232,37.47618827556961
